Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (CZK),Total (CZK),ID,Currency conversion fee (CZK)
Market buy,2022-02-03 14:30:09,US5949181045,MSFT,"Microsoft",0.0087067000,309.69,USD,0.04697,,57.40,EOF1777742533,
Market buy,2022-02-03 14:30:11,US02079K1079,GOOG,"Alphabet (Class C)",0.0013226600,2907.99,USD,0.04697,,82.00,EOF1777743268,0.12
Market buy,2022-02-03 14:30:17,US0231351067,AMZN,"Amazon",0.0013633200,2821.34,USD,0.04697,,82.00,EOF1777744196,0.12
Market buy,2022-02-03 14:30:19,US88160R1014,TSLA,"Tesla",0.0065377000,882.51,USD,0.04697,,123.00,EOF1777744332,0.18
Market buy,2022-02-03 14:31:27,US7561091049,O,"Realty Income",0.1214820000,69.50,USD,0.04697,,180.00,EOF1777745479,0.27
Market buy,2022-02-03 14:33:04,US30303M1027,META,"Meta Platforms",0.0285108000,242.83,USD,0.04697,,147.60,EOF1777746271,0.22
Market buy,2022-02-07 08:05:22,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.3414330000,82.61,USD,0.04708,,600.00,EOF1782610781,0.90
Market buy,2022-02-07 14:30:14,US5801351017,MCD,"McDonald's",0.0180366000,261.09,USD,0.04716,,100.00,EOF1782630129,0.15
Market buy,2022-02-07 14:30:20,US1912161007,KO,"Coca-Cola",0.0768840000,61.25,USD,0.04716,,100.00,EOF1782631189,0.15
Market buy,2022-02-07 14:30:46,US88160R1014,TSLA,"Tesla",0.0101936000,923.96,USD,0.04716,,200.00,EOF1782632726,0.30
Market buy,2022-02-08 19:54:36,US30303M1027,META,"Meta Platforms",0.1079749000,217.48,USD,0.04703,,500.01,EOF1784942601,0.75
Market buy,2022-02-09 18:46:36,US88160R1014,TSLA,"Tesla",0.0050158000,934.60,USD,0.04694,,100.00,EOF1786862276,0.15
Market buy,2022-02-09 18:46:37,US30303M1027,META,"Meta Platforms",0.0611146000,230.12,USD,0.04694,,300.00,EOF1786862282,0.45
Market buy,2022-02-09 18:46:38,US0378331005,AAPL,"Apple",0.0266691000,175.78,USD,0.04694,,100.00,EOF1786862289,0.15
Market buy,2022-02-10 14:30:08,US2538681030,DLR,"Digital Realty Trust",0.1609458000,144.85,USD,0.04669,,500.00,EOF1786899456,0.75
Market buy,2022-02-14 14:30:09,US02079K1079,GOOG,"Alphabet (Class C)",0.0051740100,2674.46,USD,0.04616,,300.22,EOF1790173384,0.45
Market buy,2022-02-14 14:30:12,US5949181045,MSFT,"Microsoft",0.0157119000,293.56,USD,0.04616,,100.07,EOF1790173961,0.15
Market buy,2022-02-14 14:30:17,US5801351017,MCD,"McDonald's",0.0090210000,256.00,USD,0.04616,,50.03,EOF1790174935,
Market buy,2022-02-14 14:30:17,US0378331005,AAPL,"Apple",0.0826581000,167.41,USD,0.04616,,300.22,EOF1790174992,0.45
